,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1649,1,1,India,Yashasvi Jaiswal,Mitchell Starc,,1,1,4 (BY),4,0,0,0,0,1,4,0,0,1,0,1,0,0,,,0,0.1,1,1,1,546720,,,4,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,1,0,4,0,Leg stump,Good Length,1,0,0,0,0,0,0,0
1,2,1649,1,1,India,Yashasvi Jaiswal,Mitchell Starc,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,546721,5.00,-37.00,0,0,,38,STRAIGHT BALL,50,BACKFOOT DEFENCE,0,0,2,0,4,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
2,3,1649,1,1,India,Yashasvi Jaiswal,Mitchell Starc,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,546722,-30.50,8.50,0,0,,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,3,0,4,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
3,4,1649,1,1,India,Yashasvi Jaiswal,Mitchell Starc,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,546723,-50.00,56.00,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,4,0,4,0,Off stump,Good Length,0,0,0,0,0,0,0,0
4,5,1649,1,1,India,Yashasvi Jaiswal,Mitchell Starc,,1,5,1 (NB),1,0,0,0,0,1,1,0,1,0,0,0,0,0,,,0,0.5,1,1,1,546724,-52.00,67.00,1,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,5,0,5,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
5,6,1649,1,1,India,Yashasvi Jaiswal,Mitchell Starc,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,546725,-52.00,67.00,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,6,0,5,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
6,7,1649,1,1,India,Yashasvi Jaiswal,Mitchell Starc,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,546726,28.50,58.50,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,7,0,5,0,Off stump,Good Length,0,0,0,0,0,0,0,0
7,1,1649,1,1,India,K L Rahul,Josh Hazlewood,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,546727,28.50,58.50,0,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,1,1,5,0,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0
8,2,1649,1,1,India,K L Rahul,Josh Hazlewood,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,546728,28.50,58.50,0,0,,42,OUTSWINGER,105,LEFT ALONE,0,0,2,1,5,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
9,3,1649,1,1,India,K L Rahul,Josh Hazlewood,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,546729,-51.50,68.50,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,3,1,5,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
10,4,1649,1,1,India,K L Rahul,Josh Hazlewood,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,546730,-51.50,68.50,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,4,1,5,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
11,5,1649,1,1,India,K L Rahul,Josh Hazlewood,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,546731,-51.50,68.50,0,0,,42,OUTSWINGER,105,LEFT ALONE,0,0,5,1,5,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
12,6,1649,1,1,India,K L Rahul,Josh Hazlewood,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,546732,56.50,93.00,0,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,6,1,5,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
13,1,1649,1,1,India,Yashasvi Jaiswal,Mitchell Starc,,3,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,2.1,1,1,0,546733,56.50,93.00,0,0,,42,OUTSWINGER,51,FRONTFOOT COVERDRIVE,0,0,1,2,5,1,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
14,2,1649,1,1,India,Devdutt Padikkal,Mitchell Starc,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,546734,49.50,46.00,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,2,2,5,1,Outside Off stump,Good Length,2,0,0,0,0,0,0,0
15,3,1649,1,1,India,Devdutt Padikkal,Mitchell Starc,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,546735,49.50,46.00,0,0,,42,OUTSWINGER,50,BACKFOOT DEFENCE,0,0,3,2,5,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
16,4,1649,1,1,India,Devdutt Padikkal,Mitchell Starc,,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,546736,49.50,46.00,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,4,2,5,1,Outside Off stump,Short Length,0,0,0,0,0,0,0,0
17,5,1649,1,1,India,Devdutt Padikkal,Mitchell Starc,,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.5,1,1,0,546737,49.50,46.00,0,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,5,2,5,1,Leg stump,Full Length,0,0,0,0,0,0,0,0
18,6,1649,1,1,India,Devdutt Padikkal,Mitchell Starc,,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.6,1,1,0,546738,49.50,46.00,0,0,,38,STRAIGHT BALL,49,FORWARD DEFENCE,0,0,6,2,5,1,Outside Off stump,Yorker,0,0,0,0,0,0,0,0
19,1,1649,1,1,India,K L Rahul,Josh Hazlewood,,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.1,1,1,0,546739,-51.00,24.00,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,1,3,5,1,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0
20,2,1649,1,1,India,K L Rahul,Josh Hazlewood,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.2,1,1,0,546740,-51.00,24.00,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,2,3,5,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
21,3,1649,1,1,India,K L Rahul,Josh Hazlewood,,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.3,1,1,0,546741,-51.00,24.00,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,3,3,5,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
