is_deleted,start_date,day_night,gmt_offset,group,league,league_id,live,live_coverage,comp_type_id,comp_type,match_id,match_file,match_number,match_result,match_status,match_date_gmt,match_date_ist,match_date_local,match_time_gmt,match_time_ist,match_time_local,end_match_date_gmt,end_match_date_ist,end_match_date_local,end_match_time_gmt,end_match_time_ist,end_match_time_local,match_type,priority,recent,series_id,series_name,series_start_date,series_end_date,stage,teama_id,teama,teama_short,teama_display_name,teama_short_display_name,teamb_id,teamb,teamb_short,teamb_display_name,teamb_short_display_name,tour_id,tour_name,upcoming,venue,venue_id,country_id,country,country_short_code,winning_margin,winning_team_id,toss_elected_to,toss_won_by,series_short_display_name,series_type,teama_has_squads,teamb_has_squads,parent_id,parent_name,has_standings,match_status_id,match_ordinal,coverage_level_id,coverage_level,championship_id,championship_name,audience_id,audience_type,series_status,current_innings,has_super_over,match_sub_status,parent_championship_id,parent_championship_name,parent_championship_short_name,championship_short_name,league_type,league_type_id,award,is_provisional_date,is_provisional_time,is_provisional_series_date,inning_1_team_id,inning_1_team_name,inning_1_team_short_name,inning_1_team_display_name,inning_1_team_short_display_name,inning_1_team_runs,inning_1_team_wickets,inning_1_team_overs,inning_1_run_rate,inning_2_team_id,inning_2_team_name,inning_2_team_short_name,inning_2_team_display_name,inning_2_team_short_display_name,inning_2_team_runs,inning_2_team_wickets,inning_2_team_overs,inning_2_run_rate,inning_2_target,inning_1_target,match_center,watch_live,high_light,blacklisted_countries,whitelisted_countries,ticket_link
False,1/5/1971T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,1929,auen010519711929,Only ODI,Australia beat England by 5 wickets,Match Ended,1/5/1971,1/5/1971,1/5/1971,00:00,05:30,00:00,1/5/1971,1/5/1971,1/5/1971,08:00,13:30,08:00,ODI,1,True,175,"England in Australia, 1 ODI Series",1/5/1971,1/5/1971,,1,Australia,AUS,Australia,AUS,3,England,ENG,England,ENG,,,False,"Melbourne Cricket Ground (MCG), Melbourne",96,1,Australia,AUS,5 wickets,1,field,1,,Series,False,False,,,False,114,1,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,3,England,ENG,England,ENG,190,10,39.4,4.78,1,Australia,AUS,Australia,AUS,191,5,34.6,5.45,,,,,,,,
False,8/24/1972T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,1930,enau082419721930,1st ODI,England beat Australia by 6 wickets,Match Ended,8/24/1972,8/24/1972,8/24/1972,00:00,05:30,00:00,8/24/1972,8/24/1972,8/24/1972,08:00,13:30,08:00,ODI,1,True,182,Prudential Trophy,8/24/1972,8/28/1972,,3,England,ENG,England,ENG,1,Australia,AUS,Australia,AUS,,,False,"Emirates Old Trafford, Manchester",117,3,England,ENG,6 wickets,3,bat,1,,Series,False,False,,,False,114,1,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,1,Australia,AUS,Australia,AUS,222,8,55,4.03,3,England,ENG,England,ENG,226,4,49.1,4.59,,,,,,,,
False,8/26/1972T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,1931,enau082619721931,2nd ODI,Australia beat England by 5 wickets,Match Ended,8/26/1972,8/26/1972,8/26/1972,00:00,05:30,00:00,8/26/1972,8/26/1972,8/26/1972,08:00,13:30,08:00,ODI,1,True,182,Prudential Trophy,8/24/1972,8/28/1972,,3,England,ENG,England,ENG,1,Australia,AUS,Australia,AUS,,,False,"Lord's Cricket Ground, London",89,3,England,ENG,5 wickets,1,field,1,,Series,False,False,,,False,114,2,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,3,England,ENG,England,ENG,236,9,55,4.29,1,Australia,AUS,Australia,AUS,240,5,51.3,4.66,,,,,,,,
False,8/28/1972T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,1932,enau082819721932,3rd ODI,England beat Australia by 2 wickets,Match Ended,8/28/1972,8/28/1972,8/28/1972,00:00,05:30,00:00,8/28/1972,8/28/1972,8/28/1972,08:00,13:30,08:00,ODI,1,True,182,Prudential Trophy,8/24/1972,8/28/1972,,3,England,ENG,England,ENG,1,Australia,AUS,Australia,AUS,,,False,"Edgbaston, Birmingham",50,3,England,ENG,2 wickets,3,field,3,,Series,False,False,,,False,114,3,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,1,Australia,AUS,Australia,AUS,179,9,55,3.25,3,England,ENG,England,ENG,180,8,51.3,3.49,,,,,,,,
False,2/11/1973T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,1933,nzpk021119731933,Only ODI,New Zealand beat Pakistan by 22 runs,Match Ended,2/11/1973,2/11/1973,2/11/1973,00:00,05:30,00:00,2/11/1973,2/11/1973,2/11/1973,08:00,13:30,08:00,ODI,1,True,186,"Pakistan in New Zealand, 1 ODI Series",2/11/1973,2/11/1973,,5,New Zealand,NZ,New Zealand,NZ,6,Pakistan,PAK,Pakistan,PAK,5746,"Pakistan in New Zealand, 1973",False,"AMI Stadium, Christchurch",70,5,New Zealand,NZ,22 runs,5,field,6,,Series,False,False,,,False,114,1,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,5,New Zealand,NZ,New Zealand,NZ,187,10,38.3,4.85,6,Pakistan,PAK,Pakistan,PAK,165,10,33.3,4.92,,,,,,,,
False,7/18/1973T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,1934,ennz071819731934,1st ODI,England beat New Zealand by 7 wickets,Match Ended,7/18/1973,7/18/1973,7/18/1973,00:00,05:30,00:00,7/18/1973,7/18/1973,7/18/1973,08:00,13:30,08:00,ODI,1,True,190,Prudential Trophy,7/18/1973,7/20/1973,,3,England,ENG,England,ENG,5,New Zealand,NZ,New Zealand,NZ,5569,"New Zealand tour of England, 1973",False,"St Helen's, Swansea",151,3,England,ENG,7 wickets,3,bat,5,,Series,False,False,,,False,114,1,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,5,New Zealand,NZ,New Zealand,NZ,158,10,52.5,2.99,3,England,ENG,England,ENG,159,3,45.3,3.49,,,,,,,,
False,7/20/1973T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,1935,ennz072019731935,2nd ODI,Match Abandoned,Match Abandoned,7/20/1973,7/20/1973,7/20/1973,00:00,05:30,00:00,7/20/1973,7/20/1973,7/20/1973,08:00,13:30,08:00,ODI,1,True,190,Prudential Trophy,7/18/1973,7/20/1973,,3,England,ENG,England,ENG,5,New Zealand,NZ,New Zealand,NZ,5569,"New Zealand tour of England, 1973",False,"Emirates Old Trafford, Manchester",117,3,England,ENG,0match abandoned,,field,5,,Series,False,False,,,False,113,2,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,3,England,ENG,England,ENG,167,8,48.3,3.44,5,New Zealand,NZ,New Zealand,NZ,0,0,0,0.0,,,,,,,,
False,9/5/1973T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,1936,enwi090519731936,1st ODI,England beat West Indies by 1 wickets,Match Ended,9/5/1973,9/5/1973,9/5/1973,00:00,05:30,00:00,9/5/1973,9/5/1973,9/5/1973,08:00,13:30,08:00,ODI,1,True,192,Prudential Trophy,9/5/1973,9/7/1973,,3,England,ENG,England,ENG,9,West Indies,WI,West Indies,WI,,,False,"Headingley, Leeds",65,3,England,ENG,1 wickets,3,bat,9,,Series,False,False,,,False,114,1,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,9,West Indies,WI,West Indies,WI,181,10,54,3.35,3,England,ENG,England,ENG,182,9,54.3,3.33,,,,,,,,
False,9/7/1973T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,1937,enwi090719731937,2nd ODI,West Indies beat England by 8 wickets,Match Ended,9/7/1973,9/7/1973,9/7/1973,00:00,05:30,00:00,9/7/1973,9/7/1973,9/7/1973,08:00,13:30,08:00,ODI,1,True,192,Prudential Trophy,9/5/1973,9/7/1973,,3,England,ENG,England,ENG,9,West Indies,WI,West Indies,WI,,,False,"Kennington Oval, London",81,3,England,ENG,8 wickets,9,bat,3,,Series,False,False,,,False,114,2,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,3,England,ENG,England,ENG,189,9,55,3.43,9,West Indies,WI,West Indies,WI,190,2,42.2,4.48,,,,,,,,
False,3/30/1974T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,1938,nzau033019741938,1st ODI,Australia beat New Zealand by 7 wickets,Match Ended,3/30/1974,3/30/1974,3/30/1974,00:00,05:30,00:00,3/30/1974,3/30/1974,3/30/1974,08:00,13:30,08:00,ODI,1,True,196,"Australia in New Zealand, 2 ODI Series",3/30/1974,3/31/1974,,5,New Zealand,NZ,New Zealand,NZ,1,Australia,AUS,Australia,AUS,,,False,"Carisbrook, Dunedin",29,5,New Zealand,NZ,7 wickets,1,bat,5,,Series,False,False,,,False,114,1,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,5,New Zealand,NZ,New Zealand,NZ,194,9,35,5.54,1,Australia,AUS,Australia,AUS,195,3,24.3,7.95,,,,,,,,
